STATE_CODE,STATE_NAME,CITY,LATITUDE,LONGITUDE
AL,Alabama,Dawson,34.356838,-85.929161
AL,Alabama,"De Armanville",33.626389,-85.751389
AL,Alabama,Deatsville,32.613405,-86.338211
AL,Alabama,Decatur,34.589599,-86.98868
AL,Alabama,"Deer Park",31.184892,-88.32731
AL,Alabama,Delmar,34.17,-87.605833
AL,Alabama,Delta,33.457303,-85.679279
AL,Alabama,Demopolis,32.490792,-87.839669
AL,Alabama,Detroit,34.010874,-88.16063
AL,Alabama,Dickinson,31.717167,-87.656929
AL,Alabama,"Dixons Mills",32.067209,-87.745356
AL,Alabama,Docena,33.559444,-86.931111
AL,Alabama,Dolomite,33.465424,-86.956435
AL,Alabama,Dora,33.734947,-87.040148
AL,Alabama,Dothan,31.202888,-85.418036
AL,Alabama,"Double Springs",34.138682,-87.397431
AL,Alabama,Douglas,34.173611,-86.323611
AL,Alabama,Dozier,31.506614,-86.366315
AL,Alabama,Duncanville,33.082815,-87.494977
AL,Alabama,Dutton,34.604558,-85.906729
AL,Alabama,"East Tallassee",32.607222,-85.808056
AL,Alabama,Eastaboga,33.603132,-85.96075
AL,Alabama,Echola,33.316559,-87.807202
AL,Alabama,Eclectic,32.65419,-86.031614
AL,Alabama,Edwardsville,33.707222,-85.509167
AL,Alabama,"Eight Mile",30.795074,-88.182311
AL,Alabama,Elba,31.41373,-86.077728
AL,Alabama,Elberta,30.394239,-87.58896
AL,Alabama,Eldridge,33.931546,-87.619397
AL,Alabama,Elkmont,34.915241,-86.910452
AL,Alabama,Elmore,32.545378,-86.316134
AL,Alabama,Elrod,33.343678,-87.801429
AL,Alabama,Emelle,32.754963,-88.305747
AL,Alabama,Empire,33.825589,-87.016139
AL,Alabama,Enterprise,31.340789,-85.842111
AL,Alabama,Epes,32.763371,-88.161443
AL,Alabama,Equality,32.813908,-86.105064
AL,Alabama,Estillfork,34.913017,-86.171571
AL,Alabama,Ethelsville,33.386816,-88.221987
AL,Alabama,Eufaula,31.905063,-85.165605
AL,Alabama,Eutaw,32.888871,-87.930297
AL,Alabama,Eva,34.347778,-86.704427
AL,Alabama,Excel,31.427778,-87.341389
AL,Alabama,Fackler,34.82589,-85.984648
AL,Alabama,Fairfield,33.473494,-86.918262
AL,Alabama,Fairhope,30.50116,-87.883546
AL,Alabama,Falkville,34.347653,-86.913086
AL,Alabama,Faunsdale,32.423259,-87.618079
AL,Alabama,Fayette,33.697397,-87.834647
AL,Alabama,Fitzpatrick,32.151607,-85.888329
AL,Alabama,"Five Points",33.042408,-85.324264
AL,Alabama,"Flat Rock",34.807598,-85.708372
AL,Alabama,Flomaton,31.040233,-87.266365
AL,Alabama,Florala,31.017194,-86.338528
AL,Alabama,Florence,34.830547,-87.655985
AL,Alabama,Foley,30.400664,-87.685737
AL,Alabama,"Forest Home",31.85318,-86.786377
AL,Alabama,Forkland,32.644661,-87.881676
AL,Alabama,"Fort Davis",32.28945,-85.700688
AL,Alabama,"Fort Deposit",31.995979,-86.576142
AL,Alabama,"Fort Mitchell",32.341389,-85.021667
AL,Alabama,"Fort Payne",34.436792,-85.712394
AL,Alabama,"Fort Rucker",31.348011,-85.721374
AL,Alabama,Fosters,33.135859,-87.735688
AL,Alabama,Franklin,31.723815,-87.441237
AL,Alabama,Frankville,31.64684,-88.133185
AL,Alabama,"Frisco City",31.423478,-87.381744
AL,Alabama,Fruitdale,31.348843,-88.376597
AL,Alabama,Fruithurst,33.771732,-85.43814
AL,Alabama,Fulton,31.790947,-87.708065
AL,Alabama,Fultondale,33.611283,-86.813614
AL,Alabama,Furman,32.006667,-86.966944
AL,Alabama,Fyffe,34.437284,-85.928849
AL,Alabama,Gadsden,33.997248,-86.010279
AL,Alabama,Gainestown,31.425822,-87.682176
AL,Alabama,Gainesville,32.908364,-88.271558
AL,Alabama,Gallant,33.997586,-86.234606
AL,Alabama,Gallion,32.529771,-87.698542
AL,Alabama,Gantt,31.416909,-86.419836
AL,Alabama,"Garden City",34.014444,-86.746944
AL,Alabama,Gardendale,33.71891,-86.822481
AL,Alabama,Gaylesville,34.357324,-85.558893
AL,Alabama,Geneva,31.041445,-85.884748
AL,Alabama,Georgiana,31.628662,-86.733965
AL,Alabama,Geraldine,34.343864,-86.040393
AL,Alabama,Gilbertown,31.866602,-88.326514
AL,Alabama,"Glen Allen",33.899444,-87.730278
AL,Alabama,Glenwood,31.664143,-86.170972
AL,Alabama,Goodsprings,33.668889,-87.231667
AL,Alabama,Goodwater,33.074642,-86.078149
AL,Alabama,Goodway,31.336667,-87.425833
AL,Alabama,Gordo,33.346917,-87.900504
AL,Alabama,Gordon,31.10019,-85.123412
AL,Alabama,Goshen,31.82497,-86.104851
AL,Alabama,Grady,32.019397,-86.129246
AL,Alabama,Graham,33.462976,-85.334034
AL,Alabama,"Grand Bay",30.498288,-88.32825
AL,Alabama,Grant,34.495902,-86.259041
AL,Alabama,Graysville,33.63356,-86.948221
AL,Alabama,"Green Pond",33.225,-87.126389
AL,Alabama,Greensboro,32.716721,-87.590494
AL,Alabama,Greenville,31.810036,-86.622919
AL,Alabama,"Grove Hill",31.675502,-87.763571
AL,Alabama,Groveoak,34.435874,-86.040023
AL,Alabama,Guin,33.967624,-87.90238
AL,Alabama,"Gulf Shores",30.268954,-87.712795
AL,Alabama,Guntersville,34.32193,-86.305463
